farmer_id,full_name,phone,district,location,farm_name,farm_size_acres,main_paddy_variety
SYN-F-0001,Asanka Wijesinghe,0000000001,Kandy,Yatinuwara,Wijesinghe Paddy Farm,6.4,keeri samba
SYN-F-0002,Ruwan Fernando,0000000002,Ampara,Uhana,Fernando Paddy Farm,3.5,nadu
SYN-F-0003,Roshan Dissanayake,0000000003,Ampara,Dehiattakandiya,Dissanayake Paddy Farm,9.4,keeri samba
SYN-F-0004,Kasun Bandara,0000000004,Monaragala,Bibile,Bandara Paddy Farm,7.6,keeri samba
SYN-F-0005,Ajith Bandara,0000000005,Badulla,Welimada,Bandara Paddy Farm,4.7,nadu
SYN-F-0006,Ajith Gunawardena,0000000006,Ampara,Lahugala,Gunawardena Paddy Farm,2,nadu
SYN-F-0007,Sunil Rathnayake,0000000007,Monaragala,Siyambalanduwa,Rathnayake Paddy Farm,6.7,nadu
SYN-F-0008,Roshan Silva,0000000008,Monaragala,Bibile,Silva Paddy Farm,9.9,nadu
SYN-F-0009,Janaka Gunawardena,0000000009,Ampara,Namal Oya,Gunawardena Paddy Farm,5.7,keeri samba
SYN-F-0010,Ajith Fernando,0000000010,Badulla,Welimada,Fernando Paddy Farm,3.2,keeri samba
SYN-F-0011,Indika Fernando,0000000011,Kandy,Udunuwara,Fernando Paddy Farm,8.2,keeri samba
SYN-F-0012,Pradeep Karunaratne,0000000012,Badulla,Hali Ela,Karunaratne Paddy Farm,1.9,nadu
SYN-F-0013,Priyantha Herath,0000000013,Badulla,Ella,Herath Paddy Farm,3.9,samba
SYN-F-0014,Kamal Gunawardena,0000000014,Kandy,Kundasale,Gunawardena Paddy Farm,3.3,nadu
SYN-F-0015,Indika Karunaratne,0000000015,Badulla,Ella,Karunaratne Paddy Farm,5.8,samba
SYN-F-0016,Saman Wijesinghe,0000000016,Ampara,Namal Oya,Wijesinghe Paddy Farm,3.7,keeri samba
SYN-F-0017,Indika Senanayake,0000000017,Kandy,Harispattuwa,Senanayake Paddy Farm,2.9,keeri samba
SYN-F-0018,Chamara Fernando,0000000018,Kandy,Akurana,Fernando Paddy Farm,6.1,keeri samba
SYN-F-0019,Sunil Perera,0000000019,Monaragala,Buttala,Perera Paddy Farm,2.5,samba
SYN-F-0020,Indika Silva,0000000020,Kandy,Teldeniya,Silva Paddy Farm,9.7,samba
SYN-F-0021,Kasun Karunaratne,0000000021,Ampara,Namal Oya,Karunaratne Paddy Farm,6.2,nadu
SYN-F-0022,Mahesh Gunawardena,0000000022,Ampara,Dehiattakandiya,Gunawardena Paddy Farm,3.8,keeri samba
SYN-F-0023,Kasun Silva,0000000023,Badulla,Hali Ela,Silva Paddy Farm,10,keeri samba
SYN-F-0024,Upul Fernando,0000000024,Badulla,Hali Ela,Fernando Paddy Farm,4.1,samba
